Unnamed: 0,6872-JK-1,6872-JK-2,6872-JK-3,6872-JK-4,6872-JK-51,6872-JK-52-REPREP,6872-JK-53,6872-JK-54,6872-JK-77,11067-JK-10,11067-JK-11,11067-JK-18,11067-JK-19,11067-JK-20,11067-JK-21,11067-JK-22,11067-JK-5,11067-JK-6,11067-JK-7,11067-JK-8,11067-JK-9,12039-JR-1,12039-JR-10,12039-JR-11,12039-JR-12,12039-JR-13,12039-JR-14,12039-JR-15,12039-JR-16,12039-JR-17,12039-JR-18,12039-JR-19,12039-JR-2,12039-JR-3,12039-JR-4,12039-JR-5,12039-JR-6,12039-JR-7,12039-JR-8,12039-JR-9,11391-JR-10,11391-JR-11,11391-JR-12,11391-JR-13,11391-JR-14,11391-JR-15,11391-JR-16,11391-JR-7,11391-JR-8,11391-JR-9
Elovl4,5.74366187549703,5.9189609226335,5.57051430860992,5.92807561995072,5.8026366041812,7.15381248887585,5.89644977439294,10.1823395747241,5.23526328329426,6.39730062711241,6.25447908776274,6.17491312574717,6.36740527496368,6.15859224250945,7.17288174705613,6.33593467346261,6.93561303027134,6.30143445152663,6.1770463009792,6.29207391265923,6.0079447954955,6.09561543469621,6.31211369364851,6.09258512455549,5.96521435055343,6.27810789627504,6.06059538865718,6.12709163656777,6.07020740873198,6.10415046218988,6.30227758759465,6.2229598131772,8.44875654459886,7.05950969269256,6.21462502052371,6.36166377881823,7.88523443946867,5.74869743032107,5.74869743032107,6.14662737672313,6.28634848945902,5.55804155979563,5.62522525098213,8.09549028308654,5.6971767934502,8.33972343063694,5.9463106969474,6.69866700087164,5.84348332898256,5.72254922374302
Erich2os,5.80791660105674,5.59946950353014,5.59946950353014,5.97232339933591,5.59946950353014,5.8217170801066,5.98342118150582,5.9758132796214,5.59946950353014,5.9277852344459,5.85128442692936,5.7810761818084,5.78838532085521,5.70844984354046,6.01661428840418,5.72503798371802,5.44075830918774,5.44075830918774,5.92326906400667,5.80591809063486,5.86942235494418,6.14994482264593,5.84710881536819,5.4200553375407,6.1625736320854,5.94946580349467,5.7319532958768,5.79844954378739,5.74156531595161,5.71052528895929,5.83961448924422,5.84462733962785,5.85414586430343,5.61367682796498,5.65377721306539,5.4200553375407,5.85810144579511,5.70584688391343,5.64457633821873,5.74530546674883,5.56463722978407,5.56463722978407,6.0698538839826,6.01565504788853,5.84257077788751,5.77244802749668,5.99912537023338,5.56463722978407,5.56463722978407,5.77409747976065
Erv3,6.16184741134231,6.61982610420509,6.32974522887602,6.62620164131333,6.28182200227627,6.46302021686312,6.02354026931846,5.80143030603448,6.25728335931318,6.5483383559504,5.81195033207559,6.14124828825066,6.28820036699422,6.26584423456505,6.57784372517142,6.09322841696062,7.06981910928595,6.05872819502463,6.20000251344133,6.0872292440531,6.27718927095003,7.62690138221572,6.70551033623476,5.78696071365878,6.31486449570319,6.0247815574138,6.32511109029922,6.36279560682107,6.3853966705255,6.28839191014755,6.08415463042955,6.15498051382868,6.22105124042151,6.1733386278005,5.78696071365878,5.99264888815492,6.27624631554329,6.13669803044195,6.334191275591,6.43341758458829,5.96024057773948,5.82592413644867,7.6160152104036,8.12294062709213,6.37014726886028,5.49000708208344,6.16973671784101,5.77616212484176,5.88676091873418,5.63175037989125
Esrrg,5.72131352845155,5.21291493624878,6.54993892437677,5.47692825257575,5.88922469395797,5.52691124211033,5.70763111845411,6.25743334614227,7.13917083278222,5.7656538854908,6.08407328234028,6.15831772226867,5.7656538854908,6.14368774940531,5.95873854605854,6.11354401693156,5.7656538854908,5.7656538854908,5.7656538854908,6.06406983006796,5.95792192560673,5.62410497747164,5.62410497747164,5.86755741904192,5.62410497747164,5.62410497747164,5.84486444971476,6.5860016072707,5.62410497747164,6.12553617396041,6.67421303430495,6.09836736032777,5.87535610493175,6.20154335743582,5.62410497747164,5.9797678270144,6.20194386403295,5.90989652384437,5.94130683635782,5.8543345354765,6.00697947873794,5.42224658083143,5.42224658083143,5.7081900323922,5.90217044443996,5.83679990910726,5.89784869722425,5.83066473608024,6.42596937320927,6.97073625059021
Fam57b,6.31840198927014,5.31701135530358,7.79354729195462,5.757100012283,6.8060245428763,6.57122703551948,7.26761562248085,7.48577711816337,9.22164153951171,6.80604347509087,7.06735132234802,7.20014946837213,6.59823308170159,6.87437573112463,7.00630218280283,6.96774786405008,7.07769090194783,6.79616036152421,6.92974013788672,7.12636145891914,6.93430602404936,6.53217764947964,6.60878706546479,6.5964293994863,6.61803516836802,6.54380960236203,6.88358277876193,8.0522579223536,6.68714286681169,7.05364207605007,7.73327814692804,7.38193727133776,7.0075604969355,7.14709271624826,6.83627178626686,6.71210300612291,7.40496380947616,6.88062473410071,6.67511860035632,6.67058308530033,7.29884116659143,6.14098666398086,6.20801440274877,6.23057754668952,6.82257890251413,7.12153278320419,6.69802456030832,7.08862392256257,7.60704148505851,8.27083024118955
Fasn,13.9191952234145,11.5628459544679,12.894745151925,12.7396192604397,13.3437868985433,11.50448043786,12.991085881531,13.6557327502911,14.013429818498,12.8713663439192,13.2334709825214,13.2656071145034,13.1185801972573,12.9931592236488,12.9362296164104,12.9151040631179,12.4708363784834,12.7031504612128,13.1598833283868,12.961313055476,12.8711944043567,11.7650182953165,11.1191466445669,12.9488174809947,11.4190845904028,11.31634770137,13.851453382442,12.5566473895966,12.1613782568369,12.6274029137327,15.8024144617264,14.7044585888112,14.0372620375049,14.7140601691777,13.0782150324198,13.8076409681284,12.0949603111123,14.0544701466558,12.0252450832025,12.1241438973842,12.3183382417015,12.5686508232232,12.4474480906498,12.6295974866861,12.56174166482,12.4452633463768,12.4808782195571,13.5825436358574,14.8411109366654,13.7076735288746
Fer1l4,6.32582480101635,5.61046563137621,5.84778996439447,5.61046563137621,5.61046563137621,5.61046563137621,5.61046563137621,5.98680940746747,5.61046563137621,5.60788173830024,5.60788173830024,5.88596411989121,5.89194605945118,5.60788173830024,5.8807416590895,5.80906015225299,5.60788173830024,5.89183251150409,5.60788173830024,5.81908141242296,5.87958934206765,5.35746932933906,5.65999087109667,5.60092177090934,5.7317888505934,5.59529017309408,5.73909549112622,5.35746932933906,5.58504592679798,5.35746932933906,7.05628676378124,5.78204133142621,5.71234591993032,6.78665959053205,5.82339691954169,6.00306334000008,5.66780722204496,5.64326087571179,5.35746932933906,5.58769888734392,5.44910368102714,5.70242276612354,5.76960645731004,5.65146142655083,5.72703722913057,5.80842435310942,5.72451936836952,5.85752183627595,6.2326922412499,5.65856393100372
Ffar2,6.3584772032272,5.54720671223056,6.67264384797533,6.25411437609533,6.50456196658377,5.76060199372909,6.48275195073107,5.96564156794744,5.87457212234674,6.10157700493723,5.91674923132214,6.11353512203062,6.11777499922521,6.3391042821035,6.1896091521114,6.31813629971011,6.19230883072503,5.91674923132214,6.31132541692703,6.12794890544486,6.24927717862943,5.62196746867696,5.34662966958751,6.19817169603767,5.34903597453815,5.13251905430579,7.37152842526455,6.11729784994519,5.97298048275147,5.83816943007981,7.21446812313926,6.97002537668726,6.44185728373649,6.79382955526529,6.10659406985013,6.12155326018507,5.5705651625602,6.7924095873863,6.11833005824026,5.92105225803644,6.13675081294768,6.01603026604421,5.88510240315151,6.00816311090903,5.65824020094284,5.86605099865545,6.04714988637902,6.60233149269492,6.89875597690467,6.45983789677793
Fgg,6.40058012231128,5.57728329422497,5.57728329422497,5.57728329422497,5.57728329422497,5.79953087080142,5.57728329422497,5.57728329422497,5.57728329422497,5.66059963853302,5.66059963853302,5.66059963853302,5.66059963853302,5.66059963853302,5.85368429910076,5.86177805248577,5.66059963853302,5.66059963853302,5.66059963853302,5.66059963853302,5.66059963853302,5.34962338891331,5.34962338891331,5.34962338891331,5.56614030914567,5.34962338891331,5.34962338891331,5.34962338891331,5.34962338891331,5.34962338891331,8.51966801882148,5.82388577176944,5.34962338891331,6.64783383969404,5.34962338891331,6.7233876159011,5.34962338891331,5.34962338891331,5.34962338891331,5.34962338891331,5.63351088335458,5.43741405837135,5.43741405837135,5.43741405837135,5.43741405837135,5.73104994800766,5.71282974571374,5.89366211126068,6.56696571726055,5.64687430834793
Flacc1,6.2639600197764,5.74980442136328,6.04832452544613,5.52000960260459,6.00040129884639,5.74225717918104,6.14397742528572,6.00495972694911,5.52000960260459,5.9382944296034,5.86117460350166,5.87387250953427,5.87811238672887,5.8665086820462,5.67708661882579,6.16790006420285,6.01432176914744,5.87803190228333,5.95652749243501,5.67708661882579,5.86935465894172,5.74372399861644,5.6218667580424,5.66323291051921,5.75117174729575,5.55716606003982,6.28920864414202,6.00568661716276,5.6408551946957,5.72944383901988,6.63735300462608,6.07872173941946,5.97916783703042,6.30679921849182,5.78527280648743,5.72968551086953,5.6296831089907,6.1427069791009,5.86657577821702,5.71727516268685,6.02493970869434,5.76179802742387,5.82898171861037,5.71083668785117,5.94692116160948,5.50847894232747,5.70337487031997,5.9647269952168,6.26610126812939,6.1657337332141
