"","6872-JK-1","6872-JK-2","6872-JK-3","6872-JK-4","6872-JK-51","6872-JK-52-REPREP","6872-JK-53","6872-JK-54","6872-JK-77","11067-JK-10","11067-JK-11","11067-JK-18","11067-JK-19","11067-JK-20","11067-JK-21","11067-JK-22","11067-JK-5","11067-JK-6","11067-JK-7","11067-JK-8","11067-JK-9","12039-JR-1","12039-JR-10","12039-JR-11","12039-JR-12","12039-JR-13","12039-JR-14","12039-JR-15","12039-JR-16","12039-JR-17","12039-JR-18","12039-JR-19","12039-JR-2","12039-JR-3","12039-JR-4","12039-JR-5","12039-JR-6","12039-JR-7","12039-JR-8","12039-JR-9","11391-JR-10","11391-JR-11","11391-JR-12","11391-JR-13","11391-JR-14","11391-JR-15","11391-JR-16","11391-JR-7","11391-JR-8","11391-JR-9"
"Aaas",8.39670042913236,8.34346634430234,8.56983171130877,8.75696170981417,8.36850265530436,8.5079274243473,8.49213344779487,8.53859298106895,8.70879907680544,8.4110269375374,8.73661663222651,8.49859650640321,8.60368535210945,8.42001399147709,8.57513228647431,8.63784782752963,8.29824711863089,8.61256862449293,8.61417404532211,8.33676857649252,8.49920980780864,8.52391179317341,8.62948457871774,8.67815174700136,8.52547488623825,8.60548984854179,8.4108220184768,8.45283514647029,8.58503462118031,8.41075665379744,8.58530222513293,8.553336857184,8.44805421123373,8.59489672413756,8.54688229128031,8.41205123641684,8.50113528149305,8.49751238284768,8.37364297066534,8.55138006131022,8.41403688360153,8.64001384308153,8.2386072206843,8.52374056756237,8.63234829918778,8.35284466242694,8.65957022355759,8.69839959474123,8.54801039973836,8.49566806083891
"Aacs",10.4338941715956,9.84592279248304,10.1596013707319,10.3427304557724,10.117711071444,9.81111550606426,10.1535451371957,10.261986273837,10.5580395073258,10.127194936311,10.2447223829404,10.2473732398277,10.4691987711976,10.0656654329577,10.4007398094274,10.045399262059,10.0345747020476,10.1089150513115,10.1923840634452,10.0185197577421,10.2913743059995,9.61617880391341,9.80697784510573,10.3338260317307,9.83399917877156,9.84165519789904,10.610444248493,10.0239208210807,9.87587283246072,9.84511072671357,11.2806648431399,10.6537070498112,10.5046011477379,10.7906312998595,10.0948427085108,10.3327093174335,9.91626613538683,10.4368597065949,9.86136854294704,9.89662794491534,9.94944134979666,10.3165723588288,10.1374861209037,10.4109672030022,10.2488805215552,10.2135073363641,10.0474143988883,10.1785033794663,10.3825452087121,9.98640021853817
"Aadacl2fm1",5.40367803839357,5.40367803839357,5.40367803839357,5.40367803839357,5.40367803839357,5.89869836182531,5.40367803839357,7.06680201239835,5.40367803839357,5.57517298809852,5.57517298809852,5.57517298809852,5.57517298809852,5.57517298809852,6.0056470295389,5.57517298809852,5.96428528011408,5.57517298809852,5.57517298809852,5.57517298809852,5.57517298809852,5.59826995586609,5.59826995586609,5.59826995586609,5.59826995586609,5.59826995586609,5.59826995586609,5.59826995586609,5.59826995586609,5.59826995586609,5.59826995586609,5.59826995586609,5.95314654645735,5.79189144629037,5.59826995586609,5.59826995586609,5.90860784857199,5.59826995586609,5.59826995586609,5.59826995586609,5.44779939768447,5.44779939768447,5.44779939768447,6.17043090885027,5.64447980363722,6.13121791635082,5.44779939768447,5.80179347725333,5.44779939768447,5.44779939768447
"Aadacl2fm2",5.46817172302369,5.46817172302369,5.46817172302369,5.46817172302369,5.46817172302369,5.46817172302369,5.69028168630767,6.27299736139256,5.46817172302369,5.56602585205628,5.56602585205628,5.56602585205628,5.56602585205628,5.56602585205628,5.56602585205628,5.56602585205628,5.76102377253561,5.56602585205628,5.56602585205628,5.56602585205628,5.56602585205628,5.55285351799288,5.55285351799288,5.55285351799288,5.55285351799288,5.55285351799288,5.55285351799288,5.55285351799288,5.55285351799288,5.55285351799288,5.55285351799288,5.55285351799288,6.11187457262316,5.55285351799288,5.55285351799288,5.55285351799288,5.55285351799288,5.55285351799288,5.55285351799288,5.55285351799288,5.4378692869698,5.4378692869698,5.4378692869698,5.6402270324935,5.71580283507324,5.90095953190224,5.4378692869698,5.64258915220384,5.4378692869698,5.73383180110713
"Aadacl3",5.41627227259236,5.41627227259236,5.41627227259236,5.41627227259236,5.63190310358849,5.80046090845498,5.41627227259236,6.80715445843418,5.41627227259236,5.58153040519977,5.58153040519977,5.58153040519977,5.58153040519977,5.58153040519977,5.91546653385673,5.58153040519977,5.91876555552141,5.58153040519977,5.58153040519977,5.58153040519977,5.58153040519977,5.56046364252721,5.56046364252721,5.56046364252721,5.56046364252721,5.56046364252721,5.56046364252721,5.56046364252721,5.56046364252721,5.56046364252721,5.56046364252721,5.56046364252721,6.06108567393058,5.83408106158477,5.56046364252721,5.56046364252721,6.24918054122762,5.56046364252721,5.56046364252721,5.56046364252721,5.46665405972331,5.46665405972331,5.46665405972331,6.2664668410396,5.66333446567606,5.97351386113361,5.46665405972331,5.67137392495735,5.46665405972331,5.46665405972331
"Aadacl4",5.41976941784185,5.64956423660054,5.41976941784185,5.68378273416881,5.41976941784185,5.41976941784185,5.41976941784185,6.25209655657857,5.41976941784185,5.56711778159989,5.56711778159989,5.56711778159989,5.56711778159989,5.56711778159989,5.56711778159989,5.56711778159989,5.56711778159989,5.56711778159989,5.56711778159989,5.56711778159989,5.56711778159989,5.5266887697689,5.5266887697689,5.5266887697689,5.5266887697689,5.5266887697689,5.5266887697689,5.5266887697689,5.5266887697689,5.5266887697689,5.5266887697689,5.5266887697689,5.88156536036016,5.72031026019318,5.5266887697689,5.5266887697689,5.74634191354223,5.5266887697689,5.5266887697689,5.5266887697689,5.51134441083201,5.51134441083201,5.51134441083201,5.86126732079819,5.51134441083201,5.71915520854462,5.51134441083201,5.51134441083201,5.51134441083201,5.51134441083201
"AAdacl4fm3",5.51725172903354,5.51725172903354,5.51725172903354,5.51725172903354,5.51725172903354,5.96044182929075,5.51725172903354,6.04799458683982,5.51725172903354,5.74482128256335,5.48361347178575,5.48361347178575,5.48361347178575,5.86164733570026,5.86892486467197,5.6847918857385,5.75917307118864,5.68455875524328,5.48361347178575,5.48361347178575,5.48361347178575,5.54245237964026,5.54245237964026,5.54245237964026,5.54245237964026,5.54245237964026,5.54245237964026,5.54245237964026,5.54245237964026,5.74801880424191,5.75278565551805,5.54245237964026,5.89732897023152,5.54245237964026,5.54245237964026,5.54245237964026,5.92217334610359,5.7447024491457,5.76697338031829,5.54245237964026,5.4816027995831,5.4816027995831,5.4816027995831,5.83152570954929,5.4816027995831,6.02861145654325,5.8186620922447,5.4816027995831,5.6862489656812,5.4816027995831
"Aadacl4fm5",5.67504172511352,5.46659462758692,5.46659462758692,5.73060794391389,5.77126016424352,5.78059093344847,5.46659462758692,5.77416722326936,5.46659462758692,5.50659519284254,5.69068317751841,5.50659519284254,5.50659519284254,5.83421512630108,5.69967985341029,5.70777360679529,5.70159311332187,5.79054596604639,5.50659519284254,5.50659519284254,5.50659519284254,5.80639280796818,5.56078996917866,5.56078996917866,5.56078996917866,5.56078996917866,5.56078996917866,5.56078996917866,5.56078996917866,5.56078996917866,5.56078996917866,5.77364973661347,5.81204109663876,5.56078996917866,5.79451184470335,5.56078996917866,5.78044311295199,5.56078996917866,5.56078996917866,5.56078996917866,5.83007044318032,5.49094059043453,5.71780279264319,5.94195840853899,5.49094059043453,5.78457648007084,5.49094059043453,5.49094059043453,5.49094059043453,5.49094059043453
"Aadat",5.52207545999903,5.52207545999903,5.52207545999903,5.52207545999903,5.52207545999903,5.52207545999903,5.74418542328301,5.52207545999903,5.52207545999903,5.67698393547995,5.49215616186486,5.77023854345583,5.49215616186486,5.49215616186486,5.49215616186486,5.49215616186486,5.49215616186486,5.49215616186486,5.49215616186486,5.49215616186486,5.6844242019808,5.48354409586871,5.48354409586871,5.72699653743899,5.48354409586871,5.48354409586871,5.48354409586871,5.48354409586871,5.71112069332764,5.48354409586871,5.48354409586871,5.48354409586871,5.48354409586871,5.48354409586871,5.48354409586871,5.48354409586871,5.70319723964205,5.76933564224144,5.70806509654675,5.48354409586871,5.72324148729326,5.52714466231004,5.52714466231004,5.52714466231004,5.52714466231004,5.52714466231004,5.52714466231004,5.52714466231004,5.52714466231004,5.52714466231004
"Aagab",10.457809725808,10.1064018514398,10.6264478320975,10.1822685166818,10.3375542792392,10.5385199612744,10.5597112971163,10.4113694039923,10.6149249822462,10.592234086582,10.6376331362831,10.2126774968881,10.343595784384,10.4007034624029,10.3230064723323,10.4372158651626,10.6298330824352,10.3552148009513,10.3669043705914,10.4996803644425,10.3146448774053,10.4080397141488,10.4817708426399,10.2378123529701,10.4142191403435,10.3447889271989,10.3708315577515,10.2313138464321,10.4495472279633,10.4416618964645,10.5220327796844,10.5275063271294,10.4850734333195,10.4814665521507,10.4104419977367,10.4451894667301,10.5213251679067,10.5420437758814,10.3761548956622,10.4049077809992,10.3169721189907,10.7371303620497,10.1873296911924,10.3843003275676,10.3477850086906,10.343414854158,10.2707280533038,10.5965076567439,10.5511398499006,10.5258119106199
